religion,page,text
islam,Islam,"Islam is an Abrahamic religion based on the Quran and the teachings of Muhammad. The monotheistic religion has an estimated 2 billion worldwide adherents, called Muslims."
islam,Islam,"Islam is the world's second-largest religious population after Christianity. Muslims believe that there is a primordial faith that was revealed many times through earlier prophets and messengers, including Adam, Noah, Abraham, Moses, and Jesus, and they believe that Islam is the universal and complete version of this faith."
islam,Islam,"Muslims consider the Quran to be the verbatim word of God and the unaltered, final revelation. Alongside the Quran, Muslims also believe in previous revelations, such as the Tawrat (Torah), the Zabur (Psalms), and the Injil (Gospel)."
islam,Islam,"They believe that Muhammad is the main and final of God's prophets, through whom the religion was completed, and after whom no new prophet or divine law will come. The teachings and normative examples of Muhammad, called the Sunnah, documented in accounts called hadith, provide a constitutional model for Muslims."
islam,Islam,"Islam is based on the belief in the oneness and uniqueness of God (tawhid), and belief in an afterlife (akhirah) with the Last Judgment—wherein the righteous will be rewarded in paradise (jannah) and the unrighteous will be punished in hell (jahannam). The Five Pillars, considered obligatory acts of worship, are the Islamic oath and creed (shahada), daily prayers (salah), almsgiving (zakat), fasting (sawm) in the month of Ramadan, and a pilgrimage (hajj) to Mecca."
islam,Islam,"Islamic law, sharia, touches on virtually every aspect of life, from banking and finance and welfare to men's roles and women's roles and the environment. The two main religious festivals are Eid al-Fitr and Eid al-Adha."
islam,Islam,"The three holiest sites in Islam are Masjid al-Haram in Mecca, Prophet's Mosque in Medina, and al-Aqsa Mosque Compound in Jerusalem. The religion of Islam originated in Mecca c."
islam,Islam,"Muslims believe this is when Muhammad received his first revelation. By the time of his death, most of the Arabian Peninsula had converted to Islam."
islam,Islam,Muslim rule expanded outside Arabia under the Rashidun Caliphate. The two main Islamic branches are Sunni Islam (87–90%) and Shia Islam (10–13%).
islam,Islam,"While the Shia–Sunni divide initially arose from disagreements over the succession to Muhammad, they grew to cover a broader dimension, both theologically and juridically. The Sunni canonical hadith collection consists of the six books, while the Shia canonical hadith collection consists of the four books."
islam,Islam,"Muslims make up a majority of the population in 53 countries. Approximately 12% of the world's Muslims live in Indonesia, the most populous Muslim-majority country; 31% live in South Asia; 20% live in the Middle East–North Africa; and 15% live in sub-Saharan Africa."
islam,Islam,"Muslim communities are also present in the Americas, China, and Europe. Muslims are the world's fastest-growing major religious group, according to Pew Research."
islam,Islam,This is primarily due to a higher fertility rate and younger age structure compared to other major religions.
islam,Muslims,"Muslims (Arabic: المسلمون, romanized: al-Muslimūn, lit. 'submitters [to God]') are people who adhere to Islam, a monotheistic religion belonging to the Abrahamic tradition."
islam,Muslims,"They consider the Quran, the foundational religious text of Islam, to be the verbatim word of the God of Abraham (or Allah) as it was revealed to Muhammad, the last Islamic prophet. Alongside the Quran, Muslims also believe in previous revelations, such as the Tawrat (Torah), the Zabur (Psalms), and the Injil (Gospel)."
islam,Muslims,"These earlier revelations are associated with Judaism and Christianity, which are regarded by Muslims as earlier versions of Islam. The majority of Muslims also follow the teachings and practices attributed to Muhammad (sunnah) as recorded in traditional accounts (hadith)."
islam,Muslims,"With an estimated population of 2 billion followers, Muslims comprise around 26% of the world's total population. In descending order, the percentage of people who identify as Muslims on each continental landmass stands at: 45% of Africa, 25% of Asia and Oceania collectively, 6% of Europe, and 1% of the Americas."
islam,Muslims,"Additionally, in subdivided geographical regions, the figure stands at: 91% of the Middle East–North Africa, 90% of Central Asia, 65% of the Caucasus, 42% of Southeast Asia, 32% of South Asia, and 42% of sub-Saharan Africa. While there are several Islamic schools and branches, as well as non-denominational Muslims, the two largest denominations are Sunni Islam (87–90% of all Muslims) and Shia Islam (10–13% of all Muslims)."
islam,Muslims,"By sheer numbers, South Asia accounts for the largest portion (31%) of the global Muslim population. By country, Indonesia is the largest in the Muslim world, holding around 12% of all Muslims worldwide; with Pakistan having the second largest number of Muslims in the world after Indonesia."
islam,Muslims,"Outside the Muslim-majority countries, India and China are home to the largest (11%) and second-largest (2%) Muslim populations, respectively. Due to high Muslim population growth, Islam is the fastest-growing religion in the world."
islam,Muslims,"Muslims have experienced persecution of varying severity, especially in China, India, some parts of Africa, and Southeast Asia."
