comment_id,text,mean_score,target_group,label_3,label_bin,pred_3,my_pred_bin,text_rag,rag_pred_3,rag_pred_bin
323,"jesus god, you are a rube. you get into your late 20s and start calling people kids... so are you anti-abortion because you can't get laid and view every unwanted pregnancy as some slut's punishment?",-0.01,target_religion_christian,1,0,1,0,"jesus god, you are a rube. you get into your late 20s and start calling people kids... so are you anti-abortion because you can't get laid and view every unwanted pregnancy as some slut's punishment? [SEP] Antisemitism, or Jew-hatred, is hostility to, prejudice towards, or discrimination against Jews. A person who harbours it is called an antisemite.",2,1
810,don't be such a moral bitch. i come here for dank memes not to read retards argue about female body/ religious bullshit politics.,0.07,target_religion_christian,1,0,1,0,"don't be such a moral bitch. i come here for dank memes not to read retards argue about female body/ religious bullshit politics. [SEP] Approaches to Sharia in the 21st century vary widely, and the role and mutability of Sharia in a changing world has become an increasingly debated topic in Islam. Beyond sectarian differences, fundamentalists advocate the complete and uncompromising implementation of ""exact/pure sharia"" without modifications, while modernists argue that it can/should be brought into line with human rights and other contemporary issues such as democracy, minority rights, freedom of thought, women's rights and banking by new jurisprudences.",2,1
1456,i came here to troll but to be completely honest with you israel and palestine are both trash states with a huge repertoire of warcrimes and crimes against humanity and it's frankly disgusting what they do to eachother over there,1.26,target_religion_jewish,2,1,2,1,"i came here to troll but to be completely honest with you israel and palestine are both trash states with a huge repertoire of warcrimes and crimes against humanity and it's frankly disgusting what they do to eachother over there [SEP] According to this view, since Israel is a Jewish state, expressions of anti-Zionist positions could harbour antisemitic sentiments, and criticism of Israel can serve as a vehicle for attacks against Jews in general.",1,0
2191,"i bet you obama already has one. i mean, he wore a tan suit! he's a damned traitorous muslim! /s",-0.67,target_religion_muslim,1,0,1,0,"i bet you obama already has one. i mean, he wore a tan suit! he's a damned traitorous muslim! /s [SEP] Traditional Muslim women's clothing style, determined by numerous interactions including tradition, necessities of life, geography and climate, and Islamic advice literature etc, has been reshaped through the hijab, presented as Islamic clothing in response to Western cultural influence; grown globally since the 1970s, with religious Muslims viewing it as a symbol of modesty and faith or a form of adornment. Much like the tichel or snood of observant Jewish women, the hanging veil, apostolnik, or kapp, worn by certain Christian women, and the dupatta favored in North Indian Hindu and Sikh cultures, the Islamic hijab is not monolithic, but manifests itself in diverse forms shaped by local laws and customs.",2,1
2427,that's why they bomb us,-1.26,target_religion_muslim,0,0,1,0,"that's why they bomb us [SEP] The Nazis first targeted Jewish Red Army POWs and male civilians, but quickly escalated to murdering Jewish women and children. By early 1942, following the Wannsee Conference presided by Reinhard Heydrich, the Nazis' Final Solution was implemented to murder all Jews in Europe.",2,1
3027,"he also called the hundreds of christians blown and and slaughtered ""easter worshipers."" he's a fucking clown",-1.82,target_religion_christian,0,0,1,0,"he also called the hundreds of christians blown and and slaughtered ""easter worshipers."" he's a fucking clown [SEP] Easter, also called Pasch, () Pascha, Pascua, or Resurrection Sunday, is a Christian festival and cultural holiday commemorating the resurrection of Jesus from the dead, described in the Bible's New Testament as having occurred on the third day of his burial following his crucifixion by the Romans at Calvary c. It is the culmination of the Passion of Jesus, preceded by Lent (or Great Lent), a 40-day period of fasting, prayer, and penance.",2,1
4760,"god damnit ahmed, stealing my allah sword again?",-1.16,target_religion_muslim,0,0,1,0,"god damnit ahmed, stealing my allah sword again? [SEP] The word ""Allah"" now conveys the superiority or sole existence of one God, but among the pre-Islamic Arabs, Allah was the supreme deity and worshipped alongside lesser deities in a pantheon. Many Jews, Christians, and early Muslims used ""Allah"" and ""al-ilah"" synonymously in Classical Arabic.",2,1
4778,bad isis! stop that!,-0.46,target_religion_muslim,1,0,1,0,"bad isis! stop that! [SEP] Muslims (Arabic: المسلمون, romanized: al-Muslimūn, lit. 'submitters [to God]') are people who adhere to Islam, a monotheistic religion belonging to the Abrahamic tradition.",2,1
4806,lauren southern was shut down by fascist islamic british police for displaying a similar sign.,-1.79,target_religion_muslim,0,0,1,0,"lauren southern was shut down by fascist islamic british police for displaying a similar sign. [SEP] Muslims believe this is when Muhammad received his first revelation. By the time of his death, most of the Arabian Peninsula had converted to Islam.",2,1
5041,threw the bible on the ground and stomped on it but not the koran.,-0.39,target_religion_christian,1,0,1,0,"threw the bible on the ground and stomped on it but not the koran. [SEP] By the time of his death, most of the Arabian Peninsula had converted to Islam. The revelations (waḥy) that Muhammad reported receiving until his death form the verses (āyah) of the Quran, upon which Islam is based, and are regarded by Muslims as the verbatim word of God and his final revelation.",2,1
