comment_id,text,mean_score,target_group,label_3,label_bin,pred_3,my_pred_bin,text_rag,rag_pred_3,rag_pred_bin
789,"the moslems you lefties idolise literally are putting us in concentration camps in chechyna, stoning us to death in saudi, and throwing us off tall buildings in iraq/syria etc.",1.0,target_religion_muslim,2,1,1,0,"the moslems you lefties idolise literally are putting us in concentration camps in chechyna, stoning us to death in saudi, and throwing us off tall buildings in iraq/syria etc. [SEP] Muslims have experienced persecution of varying severity, especially in China, India, some parts of Africa, and Southeast Asia.",2,1
986,"the romans had animals rape women to death, while the spectators cheered",1.55,target_religion_christian,2,1,1,0,"the romans had animals rape women to death, while the spectators cheered [SEP] The Nazis first targeted Jewish Red Army POWs and male civilians, but quickly escalated to murdering Jewish women and children. By early 1942, following the Wannsee Conference presided by Reinhard Heydrich, the Nazis' Final Solution was implemented to murder all Jews in Europe.",2,1
2425,the people who need to be hung are the muslims who started the 2002 riots by burning 50 hindus to death,0.52,target_religion_muslim,2,1,1,0,"the people who need to be hung are the muslims who started the 2002 riots by burning 50 hindus to death [SEP] Muslims have experienced persecution of varying severity, especially in China, India, some parts of Africa, and Southeast Asia.",2,1
3160,"man he straight up copied this from somewhere. this is like saying that atheism is a belief just like bald is a hair colour. also man dont even get me started on sadhguru, effing charlatan having murdered his wife and prancing around with a hoard of brainwashed wannabe idealists",-0.14,target_religion_christian,1,0,2,1,"man he straight up copied this from somewhere. this is like saying that atheism is a belief just like bald is a hair colour. also man dont even get me started on sadhguru, effing charlatan having murdered his wife and prancing around with a hoard of brainwashed wannabe idealists [SEP] Historically, evidence of atheistic viewpoints can be traced back to classical antiquity and early Indian philosophy. In the Western world, atheism declined after Christianity gained prominence.",1,0
3484,"this photo was taken just moments before cookie monster stopped giving a fuck and yelled obscenities such as ""the n word"" and ""gas the jews!!"" and the iconic ""this country need ps segregation again!""",0.59,target_religion_jewish,2,1,1,0,"this photo was taken just moments before cookie monster stopped giving a fuck and yelled obscenities such as ""the n word"" and ""gas the jews!!"" and the iconic ""this country need ps segregation again!"" [SEP] The Nazis developed their ideology based on racism and pursuit of ""living space"", and seized power in early 1933. Meant to force all German Jews to emigrate, regardless of means, the regime passed anti-Jewish laws, encouraged violence, and orchestrated a nationwide pogrom known as Kristallnacht in November 1938.",2,1
3524,"thats what a memeber of isis would say, you pakistani twat.",1.55,target_religion_muslim,2,1,1,0,"thats what a memeber of isis would say, you pakistani twat. [SEP] Muslims believe this is when Muhammad received his first revelation. By the time of his death, most of the Arabian Peninsula had converted to Islam.",2,1
3890,shut the fuck up you racist cunt.,1.15,target_religion_atheist,2,1,1,0,shut the fuck up you racist cunt. [SEP] Whether antisemitism is considered a form of racism depends on the school of thought. Antisemitic tendencies may be motivated primarily by negative sentiment towards Jews as a people or negative sentiment towards Jews with regard to Judaism.,2,1
4294,"don't forget to brush your teeth before bed, llying racist antisemitic piece of shit bigot. not that it'd make a difference with all the bullshit that spews out of your mouth, huh, lying racist antisemitic piece of shit bigot?",-0.3,target_religion_jewish,1,0,2,1,"don't forget to brush your teeth before bed, llying racist antisemitic piece of shit bigot. not that it'd make a difference with all the bullshit that spews out of your mouth, huh, lying racist antisemitic piece of shit bigot? [SEP] Whether antisemitism is considered a form of racism depends on the school of thought. Antisemitic tendencies may be motivated primarily by negative sentiment towards Jews as a people or negative sentiment towards Jews with regard to Judaism.",1,0
4640,instead of husks try jews,-1.43,target_religion_jewish,0,0,2,1,"instead of husks try jews [SEP] They have been built by the entire Jewish community living in a particular village or region, or by sub-groups of Jewish people organized by occupation, tradition/background (e.g., the Sephardic, Yemenite, Romaniote or Persian Jews of a town), style of religious observance (e.g., Orthodox or Reform synagogues), or by the followers of a particular rabbi, such as the shtiebelekh (Yiddish: שטיבעלעך, romanized: shtibelekh, singular שטיבל shtibl) of Hasidic Judaism.",0,0
4688,the lady doth protest to much. he who smelt it dealt it. the concept is age old. everyone knows that those virulently anti homosexual are usually closet homosexual. same with the family values politician with a mistress or fondness for small boys. the evangelist preaching against sin that can tick off all of the 7 deadlies before lunch time. its so obvious its incredible these folk are too stupid to realise the damage they do to their reputation.,-0.92,target_religion_christian,1,0,2,1,"the lady doth protest to much. he who smelt it dealt it. the concept is age old. everyone knows that those virulently anti homosexual are usually closet homosexual. same with the family values politician with a mistress or fondness for small boys. the evangelist preaching against sin that can tick off all of the 7 deadlies before lunch time. its so obvious its incredible these folk are too stupid to realise the damage they do to their reputation. [SEP] Since the early 20th century, there has been a sharp rise in antisemitic incidents across the Arab world, largely due to the advent of Arab antisemitic conspiracy theories, which were influenced by European antisemitic conspiracy theories. Beginning in 1879, the compound word Antisemitismus was first used in print in Germany as a ""scientific-sounding term"" for Judenhass (lit.",1,0
4777,"i am for exterminating muslim, clitorises won't be mutilated, christians won't be set on fire, innocent people won't be bombed and gays won't be thrown off rooftops. islam is hate, like the rest of religions we kill each other to appease a good that isn't even there in the first place, islam is just really effective at it right now.",1.27,target_religion_muslim,2,1,1,0,"i am for exterminating muslim, clitorises won't be mutilated, christians won't be set on fire, innocent people won't be bombed and gays won't be thrown off rooftops. islam is hate, like the rest of religions we kill each other to appease a good that isn't even there in the first place, islam is just really effective at it right now. [SEP] Muslims believe this is when Muhammad received his first revelation. By the time of his death, most of the Arabian Peninsula had converted to Islam.",2,1
5249,i am anti abrahamic so i guess that makes me anti semitic. fuck religion but fuck those 3 the most.,0.52,target_religion_muslim,2,1,1,0,"i am anti abrahamic so i guess that makes me anti semitic. fuck religion but fuck those 3 the most. [SEP] Antisemitism, or Jew-hatred, is hostility to, prejudice towards, or discrimination against Jews. A person who harbours it is called an antisemite.",2,1
7083,"the born-agains overwhelmingly support the pussy grabber-in-chief. which belies any claims to plain old human decency, much less godliness.",0.88,target_religion_christian,2,1,1,0,"the born-agains overwhelmingly support the pussy grabber-in-chief. which belies any claims to plain old human decency, much less godliness. [SEP] This is primarily due to a higher fertility rate and younger age structure compared to other major religions.",2,1
7681,"it's cool. china and japan have massive economies and massive populations, they'll out breed us soon and eat up all the nutrients and then all the racists will die and it'll be worth it.",0.02,target_religion_christian,1,0,2,1,"it's cool. china and japan have massive economies and massive populations, they'll out breed us soon and eat up all the nutrients and then all the racists will die and it'll be worth it. [SEP] Japanese Shingon also preserves the Vajrayana tradition as transmitted to China. Historically, until the early 2nd millennium, Buddhism was widely practised in the Indian subcontinent before declining there; it also had a foothold to some extent elsewhere in Asia, namely Afghanistan, Turkmenistan, Uzbekistan, and Tajikistan.",1,0
10526,go shoot up a school flexed_biceps,2.92,target_religion_muslim,2,1,1,0,"go shoot up a school flexed_biceps [SEP] After Germany's invasion of Poland in September 1939, occupation authorities began to establish ghettos to segregate Jews. Following the June 1941 invasion of the Soviet Union, 1.5 to 2 million Jews were murdered by German forces and local collaborators.",2,1
11368,my fucking nation brought only progress to the lands inhabited only by tribal societies. your brought nothing useful to the world after it became muslim.,1.23,target_religion_muslim,2,1,1,0,"my fucking nation brought only progress to the lands inhabited only by tribal societies. your brought nothing useful to the world after it became muslim. [SEP] Muslims believe this is when Muhammad received his first revelation. By the time of his death, most of the Arabian Peninsula had converted to Islam.",2,1
12326,allah pwease spware me úwù,-2.88,target_religion_muslim,0,0,2,1,"allah pwease spware me úwù [SEP] Allah ( A(H)L-ə, ə-LAH; Arabic: الله, IPA: [ɑɫˈɫɑː] ) is the Arabic language term for God, mainly the monotheistic God of Abraham. Outside of Arabic languages, it is principally associated with Islam (in which it is also considered the proper name), although the term was used in pre-Islamic Arabia and continues to be used today by Arabic-speaking adherents of any of the Abrahamic religions, including Judaism and Christianity.",1,0
12504,intern muslims in reeducation camp like china until they love gay sex,1.1,target_religion_muslim,2,1,1,0,"intern muslims in reeducation camp like china until they love gay sex [SEP] Muslims have experienced persecution of varying severity, especially in China, India, some parts of Africa, and Southeast Asia.",2,1
19246,must kill collabvm users for the glory of allah,2.54,target_religion_christian,2,1,1,0,"must kill collabvm users for the glory of allah [SEP] In recent times, Islamic movements seeking to mobilize the masses and authors writing for a popular audience have emphasized the simpler distinction of halal and haram. In the modern world, the concept of halal has expanded beyond individual actions and dietary restrictions to become a global industry, particularly in the food, pharmaceutical, cosmetic, and financial sectors.",2,1
19655,"""white supremacists"" can't exist but the jew are running a vast multinational conspiracy to control the media & ensure their own racial superiority?",0.16,target_religion_jewish,1,0,2,1,"""white supremacists"" can't exist but the jew are running a vast multinational conspiracy to control the media & ensure their own racial superiority? [SEP] Antisemitism, or Jew-hatred, is hostility to, prejudice towards, or discrimination against Jews. A person who harbours it is called an antisemite.",1,0
26457,"sodom never dreamed of this level of depravity, this level of destruction of the human soul. url",-1.45,target_religion_christian,0,0,2,1,"sodom never dreamed of this level of depravity, this level of destruction of the human soul. url [SEP] He regarded this path as a Middle Way between extreme asceticism and sensory indulgence, and also between the extremes of eternalism and nihilism. Teaching that dukkha arises alongside attachment or clinging, the Buddha advised meditation practices and ethical precepts rooted in non-harming.",1,0
29011,#caliphate,-3.12,target_religion_muslim,0,0,2,1,#caliphate [SEP] Muslim rule expanded outside Arabia under the Rashidun Caliphate. The two main Islamic branches are Sunni Islam (87–90%) and Shia Islam (10–13%).,0,0
29486,"for that, you need islam to die.",-1.99,target_religion_muslim,0,0,2,1,"for that, you need islam to die. [SEP] Muslims believe this is when Muhammad received his first revelation. By the time of his death, most of the Arabian Peninsula had converted to Islam.",1,0
29606,"[USER] malcolm, i thought you had slightly more something than your boss pauline but the virus is catching and you cannot afford to shrink further into the black hole of ignorance or you might mutate into a black burka or an isis supporter then you might have 70 virgin( male gorillas).",0.09,target_religion_muslim,1,0,2,1,"[USER] malcolm, i thought you had slightly more something than your boss pauline but the virus is catching and you cannot afford to shrink further into the black hole of ignorance or you might mutate into a black burka or an isis supporter then you might have 70 virgin( male gorillas). [SEP] Muslims have experienced persecution of varying severity, especially in China, India, some parts of Africa, and Southeast Asia.",1,0
30748,"""muslims were 'cockroaches' according to recordings of the three men. ""you have to kill all of them. they keep coming back,' stein said. 'you have to exterminate them all.'"" url",3.83,target_religion_muslim,2,1,1,0,"""muslims were 'cockroaches' according to recordings of the three men. ""you have to kill all of them. they keep coming back,' stein said. 'you have to exterminate them all.'"" url [SEP] The Holocaust, known in Hebrew as the Shoah, was the genocide of European Jews during World War II. From 1941 to 1945, Nazi Germany and its collaborators systematically murdered around six million Jews across German-occupied Europe, approximately two-thirds of Europe's Jewish population.",2,1
32880,islam is perverted reasoning perverted reasoning leads to evil islam is evil and should be banned worldwide it is offensive to humanity and christians,-0.56,target_religion_muslim,1,0,2,1,"islam is perverted reasoning perverted reasoning leads to evil islam is evil and should be banned worldwide it is offensive to humanity and christians [SEP] Islam is an Abrahamic religion based on the Quran and the teachings of Muhammad. The monotheistic religion has an estimated 2 billion worldwide adherents, called Muslims.",1,0
33561,"[USER] [USER] when will [USER] get control of her demoncrats.this [USER] is trying to start trouble in america and when it gets started..good luck on trying to stop it without installing marshall law..this is what muslims ,antifa,muslim terriosts want.they will get more than they think",0.0,target_religion_muslim,1,0,2,1,"[USER] [USER] when will [USER] get control of her demoncrats.this [USER] is trying to start trouble in america and when it gets started..good luck on trying to stop it without installing marshall law..this is what muslims ,antifa,muslim terriosts want.they will get more than they think [SEP] It distinguishes two principal branches of law, rituals (Ibadah) and social dealings (Muamalat); subsections family law, relationships (commercial, political / administrative) and criminal law, in a wide range of topics assigning actions – capable of settling into different categories according to different understandings – to categories (ahkam) mainly as: mandatory, recommended, neutral, abhorred, and prohibited. Beyond legal norms, Sharia also enters many areas that are considered private practices today, such as belief, worshipping, ethics, clothing and lifestyle, and gives to those in command duties to intervene and regulate them.",1,0
34131,"oy vey! the ""jewish race"" is so smart, they worship lucifer & saturn, and get their rocks off on institutionalized pedophilia. btw in latest uk studies, chinese uk youth are smartest, then indian... url",0.36,target_religion_jewish,1,0,2,1,"oy vey! the ""jewish race"" is so smart, they worship lucifer & saturn, and get their rocks off on institutionalized pedophilia. btw in latest uk studies, chinese uk youth are smartest, then indian... url [SEP] In these ways and others, Jews have played a significant role in the development of Western culture.",1,0
34515,[USER] sir u vilified animal rights activists like gaurakshaks who r being killed by ur favourite community of muslims. will you say one word for this father who lost his life & was butchered by a gang of muslim beef gang? or hv u got fevicol in ur mouth ? url,-0.03,target_religion_muslim,1,0,2,1,"[USER] sir u vilified animal rights activists like gaurakshaks who r being killed by ur favourite community of muslims. will you say one word for this father who lost his life & was butchered by a gang of muslim beef gang? or hv u got fevicol in ur mouth ? url [SEP] The word is also frequently, albeit not exclusively, used by Bábists, Baháʼís, Mandaeans, Indonesian Christians, Maltese Christians, and Sephardic Jews, as well as by the Gagauz people.",1,0
34692,that fake white jesus is probably on his way to south africa now..,-0.44,target_religion_christian,1,0,2,1,"that fake white jesus is probably on his way to south africa now.. [SEP] Christianity is growing in Africa and Asia, the world's most populous continents. Many Christians are still persecuted in some regions of the world, particularly where they are a minority, such as in the Middle East, North Africa, East Asia, and South Asia.",1,0
36587,beans is a jew,-2.95,target_religion_jewish,0,0,2,1,"beans is a jew [SEP] Jews (Hebrew: יְהוּדִים‎, ISO 259-2: Yehudim, Israeli pronunciation: [jehuˈdim]), or the Jewish people, are an ethnoreligious group and nation, originating from the Israelites of ancient Israel and Judah. They traditionally adhere to Judaism.",0,0
36728,"[USER] [USER] he is a piece of shit that deserves to die by 1000 cuts but just remember your opinion when everyone that ""looks"" muslim gets targeted bc they plaster a terrorist up. #dontgivethemfame",-0.41,target_religion_muslim,1,0,2,1,"[USER] [USER] he is a piece of shit that deserves to die by 1000 cuts but just remember your opinion when everyone that ""looks"" muslim gets targeted bc they plaster a terrorist up. #dontgivethemfame [SEP] With an estimated population of 2 billion followers, Muslims comprise around 26% of the world's total population. In descending order, the percentage of people who identify as Muslims on each continental landmass stands at: 45% of Africa, 25% of Asia and Oceania collectively, 6% of Europe, and 1% of the Americas.",1,0
